,Component,Date,Value
0,Component1,2016-01-01,-1.3568501
1,Component2,2016-01-01,0.60843015
2,Component3,2016-01-01,-0.81235284
3,Component4,2016-01-01,0.3902352
4,Component5,2016-01-01,-0.36188698
5,Component6,2016-01-01,-0.9057405999999999
6,Component7,2016-01-01,-0.22249666
7,Component8,2016-01-01,0.061820265
8,Component9,2016-01-01,0.4842657
9,Component10,2016-01-01,-1.8342281999999999
10,Component11,2016-01-01,-0.05797959999999999
11,Component12,2016-01-01,0.05598485
12,Component13,2016-01-01,0.45184186
13,Component14,2016-01-01,-0.12496523
14,Component15,2016-01-01,-0.062386107
15,Component16,2016-01-01,0.22922301
16,Component1,2016-01-02,-1.8024330000000002
17,Component2,2016-01-02,0.6286129
18,Component3,2016-01-02,-0.256764
19,Component4,2016-01-02,-0.13250870000000003
20,Component5,2016-01-02,-0.37137109999999995
21,Component6,2016-01-02,-0.04806513
22,Component7,2016-01-02,-0.13612494
23,Component8,2016-01-02,0.069644846
24,Component9,2016-01-02,0.44073913
25,Component10,2016-01-02,-2.2869477000000002
26,Component11,2016-01-02,0.54539573
27,Component12,2016-01-02,0.31435886
28,Component13,2016-01-02,0.059759546
29,Component14,2016-01-02,-0.5468069999999999
30,Component15,2016-01-02,0.22376916
31,Component16,2016-01-02,0.23558208
32,Component1,2016-01-03,-1.7414738
33,Component2,2016-01-03,0.60498554
34,Component3,2016-01-03,0.40226272
35,Component4,2016-01-03,-0.27462682
36,Component5,2016-01-03,-0.30577925
37,Component6,2016-01-03,0.46030304
38,Component7,2016-01-03,-0.22402539999999999
39,Component8,2016-01-03,-0.73613316
40,Component9,2016-01-03,0.63120335
41,Component10,2016-01-03,-1.7831339
42,Component11,2016-01-03,0.48881006
43,Component12,2016-01-03,0.43551064
44,Component13,2016-01-03,0.40988714
45,Component14,2016-01-03,0.15856983
46,Component15,2016-01-03,0.43328640000000007
47,Component16,2016-01-03,-0.29921144
48,Component1,2016-01-04,-2.1040403999999997
49,Component2,2016-01-04,0.6133968000000001
50,Component3,2016-01-04,0.03195213
51,Component4,2016-01-04,-1.3127745000000002
52,Component5,2016-01-04,-0.0033583944
53,Component6,2016-01-04,-0.11841274
54,Component7,2016-01-04,0.057777163
55,Component8,2016-01-04,-0.6892464
56,Component9,2016-01-04,0.5129102
57,Component10,2016-01-04,-1.1676121000000002
58,Component11,2016-01-04,0.573617
