,Component,Date,Value
0,Component1,2017-01-01,-0.1581409
1,Component2,2017-01-01,0.56283396
2,Component3,2017-01-01,0.096118
3,Component4,2017-01-01,-0.4504433
4,Component5,2017-01-01,0.20032457
5,Component6,2017-01-01,-0.5285807
6,Component7,2017-01-01,0.5537081
7,Component8,2017-01-01,0.38013309999999995
8,Component9,2017-01-01,-0.4106709
9,Component10,2017-01-01,-0.21640311
10,Component11,2017-01-01,0.15739499
11,Component12,2017-01-01,-0.025141675
12,Component13,2017-01-01,-0.38990593
13,Component14,2017-01-01,0.49955550000000004
14,Component15,2017-01-01,-1.5154671999999998
15,Component16,2017-01-01,0.6007115
16,Component1,2017-01-02,0.24528506
17,Component2,2017-01-02,0.582338
18,Component3,2017-01-02,0.35432956
19,Component4,2017-01-02,0.5217996
20,Component5,2017-01-02,0.18009129
21,Component6,2017-01-02,0.5186838
22,Component7,2017-01-02,0.44964123
23,Component8,2017-01-02,0.57774895
24,Component9,2017-01-02,0.09661361
25,Component10,2017-01-02,0.26440978
26,Component11,2017-01-02,0.24113694
27,Component12,2017-01-02,-0.14061436
28,Component13,2017-01-02,-0.10530816
29,Component14,2017-01-02,0.3642979
30,Component15,2017-01-02,-1.8352644
31,Component16,2017-01-02,0.42131660000000004
32,Component1,2017-01-03,-0.22654895
33,Component2,2017-01-03,0.5694041
34,Component3,2017-01-03,0.29657447
35,Component4,2017-01-03,0.4640293
36,Component5,2017-01-03,-0.10144821
37,Component6,2017-01-03,0.19727834
38,Component7,2017-01-03,0.5930930999999999
39,Component8,2017-01-03,0.4975384
40,Component9,2017-01-03,0.15846942
41,Component10,2017-01-03,-0.13963963
42,Component11,2017-01-03,0.021073132999999997
43,Component12,2017-01-03,0.08352712
44,Component13,2017-01-03,-0.7812249
45,Component14,2017-01-03,0.35532179999999997
46,Component15,2017-01-03,-2.2117524
47,Component16,2017-01-03,0.43087816
48,Component1,2017-01-04,-0.2355875
49,Component2,2017-01-04,0.55284315
50,Component3,2017-01-04,0.19945231
51,Component4,2017-01-04,0.46000507
52,Component5,2017-01-04,0.089391865
53,Component6,2017-01-04,0.1440001
54,Component7,2017-01-04,0.6046799
55,Component8,2017-01-04,0.40847259999999996
56,Component9,2017-01-04,0.13456220000000002
57,Component10,2017-01-04,-0.20477292
58,Component11,2017-01-04,-0.10820787
59,Component12,2017-01-04,0.29974887
60,Component13,2017-01-04,-0.6129756
61,Component14,2017-01-04,0.17170449
62,Component15,2017-01-04,-2.1843698
63,Component16,2017-01-04,0.41069353
64,Component1,2017-01-05,0.2154506
65,Component2,2017-01-05,0.529578
66,Component3,2017-01-05,0.16918737
67,Component4,2017-01-05,0.42972609999999994
68,Component5,2017-01-05,-0.23288907
69,Component6,2017-01-05,-0.17760153
70,Component7,2017-01-05,0.60695595
