,Component,Date,Value
0,Component1,2015-07-11,-0.44412303
1,Component2,2015-07-11,-0.0038739878000000004
2,Component3,2015-07-11,-0.26555407
3,Component4,2015-07-11,0.02211738
4,Component5,2015-07-11,-0.17366047
5,Component6,2015-07-11,0.18453862
6,Component7,2015-07-11,0.13378341
7,Component8,2015-07-11,-0.4559509
8,Component9,2015-07-11,0.15773796
9,Component10,2015-07-11,-1.6287868
10,Component11,2015-07-11,0.57448286
11,Component12,2015-07-11,0.24864893
12,Component13,2015-07-11,-0.17326069
13,Component14,2015-07-11,0.36289355
14,Component15,2015-07-11,-0.6509603
15,Component16,2015-07-11,-0.56104743
16,Component1,2015-07-12,0.2510737
17,Component2,2015-07-12,0.34605023
18,Component3,2015-07-12,0.13204885
19,Component4,2015-07-12,0.15199438
20,Component5,2015-07-12,-1.0285434000000002
21,Component6,2015-07-12,0.5073098
22,Component7,2015-07-12,-0.9023503
23,Component8,2015-07-12,-0.5499712
24,Component9,2015-07-12,-0.55177206
25,Component10,2015-07-12,0.24812269
26,Component11,2015-07-12,-0.21159856
27,Component12,2015-07-12,0.34730884
28,Component13,2015-07-12,0.31352124
29,Component14,2015-07-12,-0.78214115
30,Component15,2015-07-12,0.24197602
31,Component16,2015-07-12,-0.047839385
32,Component1,2016-07-02,0.32969818
33,Component2,2016-07-02,-0.097649366
34,Component3,2016-07-02,-1.1591895
35,Component4,2016-07-02,0.08352404
36,Component5,2016-07-02,-0.65193415
37,Component6,2016-07-02,0.5724505999999999
38,Component7,2016-07-02,-1.3030396
39,Component8,2016-07-02,-1.5815533000000002
40,Component9,2016-07-02,-0.06620037599999999
41,Component10,2016-07-02,-0.027510151
42,Component11,2016-07-02,-1.001053
43,Component12,2016-07-02,0.024799349
44,Component13,2016-07-02,0.12123467
45,Component14,2016-07-02,-0.18941917
46,Component15,2016-07-02,-0.56518435
47,Component16,2016-07-02,0.38248643
48,Component1,2016-07-03,0.32186190000000003
49,Component2,2016-07-03,0.060679484000000006
50,Component3,2016-07-03,-0.78997797
51,Component4,2016-07-03,0.2540173
52,Component5,2016-07-03,-0.77518433
53,Component6,2016-07-03,0.29242507
54,Component7,2016-07-03,-1.9155919999999997
55,Component8,2016-07-03,-0.99183184
56,Component9,2016-07-03,-0.081804544
57,Component10,2016-07-03,-0.5140800999999999
58,Component11,2016-07-03,-0.29517865
59,Component12,2016-07-03,0.2762575
60,Component13,2016-07-03,0.31523709999999994
61,Component14,2016-07-03,-0.7277864
62,Component15,2016-07-03,-0.45815894
63,Component16,2016-07-03,0.23769532
64,Component1,2016-07-04,-0.15698728
65,Component2,2016-07-04,0.049704205
66,Component3,2016-07-04,-0.9520783000000002
67,Component4,2016-07-04,0.15714104
68,Component5,2016-07-04,-0.6055854
69,Component6,2016-07-04,0.5536138
70,Component7,2016-07-04,0.105538644
71,Component8,2016-07-04,-0.022383187000000002
72,Component9,2016-07-04,-0.61190253
73,Component10,2016-07-04,0.5120397
74,Component11,2016-07-04,-0.14139654
75,Component12,2016-07-04,0.41642219999999996
76,Component13,2016-07-04,-0.091449074
77,Component14,2016-07-04,-0.7638716
78,Component15,2016-07-04,-0.08474533
79,Component16,2016-07-04,0.49367225
80,Component1,2015-01-03,-0.31902263
81,Component2,2015-01-03,0.37723744
82,Component3,2015-01-03,0.06402491
83,Component4,2015-01-03,-1.1002715
84,Component5,2015-01-03,-1.3038191000000001
85,Component6,2015-01-03,0.48740786
86,Component7,2015-01-03,-0.07820017
87,Component8,2015-01-03,-0.27896112
88,Component9,2015-01-03,-1.1146368
89,Component10,2015-01-03,0.06339888
90,Component11,2015-01-03,-0.14174682
91,Component12,2015-01-03,-0.37682658
92,Component13,2015-01-03,0.00056084164
93,Component14,2015-01-03,-0.83246887
94,Component15,2015-01-03,0.13843907
95,Component16,2015-01-03,0.43223745
96,Component1,2015-03-02,0.16173713
97,Component2,2015-03-02,0.41360340000000007
98,Component3,2015-03-02,-0.39846423
99,Component4,2015-03-02,-0.63208556
100,Component5,2015-03-02,-1.1930839
101,Component6,2015-03-02,0.08482548599999999
102,Component7,2015-03-02,-0.06608129
103,Component8,2015-03-02,0.3857217
104,Component9,2015-03-02,0.23603964
105,Component10,2015-03-02,-0.5255138
106,Component11,2015-03-02,0.35680506
107,Component12,2015-03-02,-0.23921935
108,Component13,2015-03-02,-0.93294483
109,Component14,2015-03-02,-0.6233562
110,Component15,2015-03-02,0.44915164
111,Component16,2015-03-02,0.59628963
112,Component1,2015-02-23,-0.08499656
113,Component2,2015-02-23,0.3668532
114,Component3,2015-02-23,-0.22217862
115,Component4,2015-02-23,-1.2209963
116,Component5,2015-02-23,-1.4741563
117,Component6,2015-02-23,0.28813028
118,Component7,2015-02-23,-0.37131379999999997
119,Component8,2015-02-23,0.08107207
120,Component9,2015-02-23,-0.20237014
121,Component10,2015-02-23,-0.32326445
122,Component11,2015-02-23,-0.082202956
123,Component12,2015-02-23,0.051433522
124,Component13,2015-02-23,-0.52715
125,Component14,2015-02-23,-0.762246
126,Component15,2015-02-23,0.31723645
127,Component16,2015-02-23,0.40183058
128,Component1,2015-07-13,0.20809008
129,Component2,2015-07-13,0.26949042
130,Component3,2015-07-13,0.068720214
131,Component4,2015-07-13,-2.9682283
132,Component5,2015-07-13,-0.95111763
133,Component6,2015-07-13,0.15334894
134,Component7,2015-07-13,0.3869468
135,Component8,2015-07-13,-1.5602431
136,Component9,2015-07-13,0.20166348
137,Component10,2015-07-13,-0.7641839
138,Component11,2015-07-13,-0.36606157
139,Component12,2015-07-13,-1.5907003
