,date,amount,Type,MA,MS
0,01/01/2015,22557.0,1,0.0,0.0
1,01/02/2015,14308.0,0,0.0,0.0
2,01/03/2015,15346.0,0,0.0,0.0
3,01/04/2015,11697.0,0,0.0,0.0
4,01/05/2015,14890.0,1,0.0,0.0
5,01/06/2015,16563.0,0,0.0,0.0
6,01/07/2015,16253.0,1,15944.857142857143,3326.4703730616848
7,01/08/2015,18390.0,1,15349.57142857143,2088.466970223443
8,01/09/2015,23745.0,0,16697.714285714286,3715.868929976124
9,01/10/2015,20535.0,0,17439.0,3913.591487793959
10,01/11/2015,16064.0,0,18062.85714285714,3111.6144485122954
11,01/12/2015,17377.0,0,18418.14285714286,2816.991564806412
12,01/13/2015,18922.0,0,18755.14285714286,2696.602271289523
13,01/14/2015,20744.0,0,19396.714285714286,2531.2552692478966
14,01/15/2015,21145.0,0,19790.285714285714,2562.624287345932
15,01/16/2015,24834.0,0,19945.85714285714,2858.6748345210267
16,01/17/2015,24012.0,0,20442.571428571428,3252.985390742013
17,01/18/2015,19572.0,0,20943.714285714286,2686.9896857689255
18,01/19/2015,11419.0,0,20092.571428571428,4401.649382414994
19,01/20/2015,16763.0,0,19784.14285714286,4569.774153010608
20,01/21/2015,18020.0,0,19395.0,4590.349732500419
21,01/22/2015,20835.0,0,19350.714285714286,4572.11175549788
22,01/23/2015,25031.0,0,19378.85714285714,4611.921415511884
23,01/24/2015,23368.0,0,19286.85714285714,4509.377541249325
24,01/25/2015,21812.0,0,19606.85714285714,4611.31136187858
25,01/26/2015,21736.0,1,21080.714285714286,2883.0428204870495
26,01/27/2015,22405.0,0,21886.714285714286,2176.9718811754565
27,01/28/2015,20986.0,0,22310.428571428572,1474.1274093672027
28,01/29/2015,20978.0,0,22330.85714285714,1451.083782163244
29,01/30/2015,25628.0,0,22416.14285714286,1641.3068399471153
30,01/31/2015,22611.0,0,22308.0,1592.3463819157068
31,02/01/2015,12297.0,0,20948.714285714286,4128.234154949941
32,02/02/2015,15062.0,1,19995.285714285714,4653.391369538483
33,02/03/2015,18490.0,0,19436.0,4549.612913937476
34,02/04/2015,21419.0,0,19497.85714285714,4577.060025408282
35,02/05/2015,23718.0,0,19889.285714285714,4834.651649439551
36,02/06/2015,25980.0,0,19939.571428571428,4905.5988033111325
37,02/07/2015,25259.0,0,20317.85714285714,5236.848397925717
38,02/08/2015,18015.0,0,21134.714285714286,4099.709327675389
39,02/09/2015,17550.0,0,21490.14285714286,3557.473608642867
40,02/10/2015,19214.0,0,21593.571428571428,3465.034817388465
41,02/11/2015,20535.0,0,21467.285714285714,3488.4872420714487
42,02/12/2015,25176.0,0,21675.571428571428,3683.3505063163598
43,02/13/2015,29572.0,0,22188.714285714286,4534.7674587305955
44,02/14/2015,31739.0,0,23114.428571428572,5761.472174631036
45,02/15/2015,19136.0,0,23274.571428571428,5609.68762817631
46,02/16/2015,14619.0,0,22855.85714285714,6187.790651182148
47,02/17/2015,18743.0,0,22788.571428571428,6236.362424179207
48,02/18/2015,23058.0,1,23149.0,6156.811187619778
49,02/19/2015,24648.0,1,23073.571428571428,6131.019351275475
50,02/20/2015,28607.0,0,22935.714285714286,5969.263151464227
51,02/21/2015,27277.0,0,22298.285714285714,5038.1433655096225
52,02/22/2015,21783.0,0,22676.428571428572,4857.328753445424
53,02/23/2015,19682.0,0,23399.714285714286,3695.589881389524
54,02/24/2015,21067.0,0,23731.714285714286,3289.6126273613595
55,02/25/2015,22793.0,0,23693.85714285714,3300.165876061971
56,02/26/2015,25797.0,0,23858.0,3383.0654245324213
57,02/27/2015,30707.0,0,24158.0,3924.210961029839
58,02/28/2015,27858.0,0,24241.0,4006.4574127276164
59,03/01/2015,19163.0,0,23866.714285714286,4379.3815664728245
60,03/02/2015,16741.0,0,23446.571428571428,4951.468262281504
61,03/03/2015,19572.0,0,23233.0,5101.190743346113
62,03/04/2015,20502.0,0,22905.714285714286,5206.531657904518
63,03/05/2015,24950.0,0,22784.714285714286,5137.5239728325005
64,03/06/2015,30361.0,0,22735.285714285714,5049.509999801497
