,amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm
0,14308.0,0,2015-01-02,1,0,0,0,0,0
1,15346.0,0,2015-01-03,0,1,0,1,1,1
2,11697.0,0,2015-01-04,1,0,0,0,0,0
3,14890.0,1,2015-01-05,0,1,0,0,0,0
4,16563.0,0,2015-01-06,0,0,0,0,0,0
5,16253.0,1,2015-01-07,0,1,0,0,0,0
6,18390.0,1,2015-01-08,0,0,0,1,0,0
7,23745.0,0,2015-01-09,1,1,1,1,0,0
8,20535.0,0,2015-01-10,0,1,0,1,0,0
9,16064.0,0,2015-01-11,0,1,0,1,0,0
10,17377.0,0,2015-01-12,1,0,1,1,1,0
11,18922.0,0,2015-01-13,0,1,0,1,0,0
12,20744.0,0,2015-01-14,0,0,0,0,0,0
13,21145.0,0,2015-01-15,0,0,0,1,0,0
14,24834.0,0,2015-01-16,1,1,0,1,0,1
15,24012.0,0,2015-01-17,0,0,0,1,1,0
16,19572.0,0,2015-01-18,0,0,1,1,1,0
17,11419.0,0,2015-01-19,1,1,1,0,0,0
18,16763.0,0,2015-01-20,1,0,0,0,0,0
19,18020.0,0,2015-01-21,0,0,0,0,0,0
20,20835.0,0,2015-01-22,0,1,0,1,0,0
21,25031.0,0,2015-01-23,1,1,0,1,1,0
22,23368.0,0,2015-01-24,0,0,0,1,0,0
23,21812.0,0,2015-01-25,0,0,0,1,1,0
24,21736.0,1,2015-01-26,1,0,1,1,0,0
25,22405.0,0,2015-01-27,0,0,0,1,0,0
26,20986.0,0,2015-01-28,0,0,0,1,0,0
27,20978.0,0,2015-01-29,0,0,1,1,0,0
28,25628.0,0,2015-01-30,1,1,0,0,0,0
29,22611.0,0,2015-01-31,1,0,0,1,1,0
30,12297.0,0,2015-02-01,1,1,1,1,1,0
31,15062.0,1,2015-02-02,1,1,1,1,0,0
32,18490.0,0,2015-02-03,0,1,1,1,1,0
33,21419.0,0,2015-02-04,0,1,1,1,1,0
34,23718.0,0,2015-02-05,0,1,0,1,1,0
35,25980.0,0,2015-02-06,1,1,0,1,1,1
36,25259.0,0,2015-02-07,0,0,0,1,0,0
37,18015.0,0,2015-02-08,1,0,0,1,1,0
38,17550.0,0,2015-02-09,0,1,0,0,0,0
39,19214.0,0,2015-02-10,0,1,0,1,1,0
40,20535.0,0,2015-02-11,0,1,1,0,0,0
41,25176.0,0,2015-02-12,1,1,1,0,0,0
42,29572.0,0,2015-02-13,1,1,0,1,1,1
43,31739.0,0,2015-02-14,1,1,0,1,1,1
44,19136.0,0,2015-02-15,1,0,0,1,1,0
45,14619.0,0,2015-02-16,0,1,0,0,0,1
46,18743.0,0,2015-02-17,1,1,0,1,0,1
47,23058.0,1,2015-02-18,0,1,1,0,0,0
48,24648.0,1,2015-02-19,0,1,1,1,0,0
49,28607.0,0,2015-02-20,1,1,0,1,1,0
50,27277.0,0,2015-02-21,0,1,1,1,1,0
51,21783.0,0,2015-02-22,0,0,0,1,1,0
52,19682.0,0,2015-02-23,0,1,0,1,1,0
53,21067.0,0,2015-02-24,0,0,0,1,0,0
54,22793.0,0,2015-02-25,0,1,0,1,1,0
55,25797.0,0,2015-02-26,0,1,0,1,1,0
56,30707.0,0,2015-02-27,1,1,0,1,1,1
57,27858.0,0,2015-02-28,0,0,1,1,1,0
58,19163.0,0,2015-03-01,1,0,0,1,1,0
59,16741.0,0,2015-03-02,0,1,0,1,0,1
60,19572.0,0,2015-03-03,0,1,0,1,1,0
61,20502.0,0,2015-03-04,0,1,0,1,1,1
62,24950.0,0,2015-03-05,1,1,1,1,1,0
63,30361.0,0,2015-03-06,1,1,0,1,1,0
64,27273.0,0,2015-03-07,0,0,1,1,1,0
65,21198.0,0,2015-03-08,0,0,0,1,0,1
66,20059.0,0,2015-03-09,1,0,1,1,1,0
