,date,end_id,amount
0,01/01/2015,1.0,139.0
1,01/01/2015,2.0,24.0
2,01/01/2015,3.0,699.0
3,01/01/2015,4.0,178.0
4,01/01/2015,5.0,269.0
5,01/01/2015,6.0,3070.0
6,01/01/2015,7.0,2553.0
7,01/01/2015,8.0,7379.0
8,01/01/2015,10.0,3.0
9,01/01/2015,11.0,1.0
10,01/01/2015,12.0,1.0
11,01/01/2015,13.0,8.0
12,01/01/2015,14.0,68.0
13,01/01/2015,15.0,6.0
14,01/01/2015,16.0,48.0
15,01/01/2015,17.0,1.0
16,01/01/2015,21.0,89.0
17,01/01/2015,22.0,516.0
18,01/01/2015,23.0,8.0
19,01/01/2015,24.0,1341.0
20,01/01/2015,28.0,1933.0
21,01/01/2015,31.0,48.0
22,01/01/2015,32.0,2800.0
23,01/01/2015,33.0,606.0
24,01/01/2015,34.0,49.0
25,01/01/2015,35.0,10.0
26,01/01/2015,39.0,18.0
27,01/01/2015,41.0,32.0
28,01/01/2015,43.0,1.0
29,01/01/2015,56.0,93.0
30,01/01/2015,60.0,5.0
31,01/01/2015,76.0,303.0
32,01/01/2015,77.0,259.0
33,01/01/2016,1.0,88.0
34,01/01/2016,2.0,14.0
35,01/01/2016,3.0,498.0
36,01/01/2016,4.0,113.0
37,01/01/2016,5.0,109.0
38,01/01/2016,6.0,1995.0
39,01/01/2016,7.0,1703.0
40,01/01/2016,8.0,5815.0
41,01/01/2016,13.0,1.0
42,01/01/2016,14.0,43.0
43,01/01/2016,15.0,10.0
44,01/01/2016,16.0,39.0
45,01/01/2016,20.0,3.0
46,01/01/2016,21.0,85.0
47,01/01/2016,22.0,394.0
48,01/01/2016,23.0,10.0
49,01/01/2016,24.0,1113.0
50,01/01/2016,28.0,1658.0
51,01/01/2016,31.0,33.0
52,01/01/2016,32.0,2196.0
53,01/01/2016,33.0,580.0
54,01/01/2016,34.0,18.0
55,01/01/2016,35.0,7.0
56,01/01/2016,39.0,5.0
57,01/01/2016,41.0,23.0
58,01/01/2016,56.0,63.0
59,01/01/2016,59.0,1.0
60,01/01/2016,60.0,8.0
61,01/01/2016,76.0,208.0
62,01/01/2016,77.0,182.0
63,01/01/2017,1.0,19.0
64,01/01/2017,3.0,100.0
65,01/01/2017,4.0,10.0
66,01/01/2017,5.0,15.0
67,01/01/2017,6.0,503.0
68,01/01/2017,7.0,519.0
69,01/01/2017,8.0,2414.0
70,01/01/2017,10.0,1.0
71,01/01/2017,12.0,1.0
72,01/01/2017,14.0,12.0
73,01/01/2017,16.0,1.0
74,01/01/2017,21.0,6.0
75,01/01/2017,22.0,60.0
76,01/01/2017,24.0,276.0
77,01/01/2017,28.0,630.0
78,01/01/2017,31.0,2.0
79,01/01/2017,32.0,937.0
80,01/01/2017,33.0,195.0
81,01/01/2017,34.0,5.0
82,01/01/2017,39.0,2.0
83,01/01/2017,41.0,8.0
84,01/01/2017,56.0,7.0
85,01/01/2017,76.0,94.0
86,01/01/2017,77.0,12.0
87,01/02/2015,1.0,8.0
