,Component,Date,Value
0,Component1,2016-01-01,-1.1263753643151764
1,Component2,2016-01-01,2.4281303238241154
2,Component3,2016-01-01,0.08806145338185603
3,Component4,2016-01-01,1.2827527691310154
4,Component5,2016-01-01,1.116823215105667
5,Component6,2016-01-01,0.5922985323368645
6,Component7,2016-01-01,0.2787301238076329
7,Component8,2016-01-01,-0.5522033945976607
8,Component9,2016-01-01,0.36914610107976464
9,Component10,2016-01-01,-0.25647026479346857
10,Component11,2016-01-01,0.4814870823839458
11,Component12,2016-01-01,0.07728343035489002
12,Component13,2016-01-01,-0.4028200126373813
13,Component14,2016-01-01,0.6457102658066234
14,Component15,2016-01-01,0.21432168553576356
15,Component16,2016-01-01,-0.3668848305760044
16,Component1,2016-01-02,0.6914308479445913
17,Component2,2016-01-02,1.6487848419874231
18,Component3,2016-01-02,0.20788668616319508
19,Component4,2016-01-02,1.3995597119173742
20,Component5,2016-01-02,0.6148159271956333
21,Component6,2016-01-02,0.363982760318848
22,Component7,2016-01-02,0.2177566575432639
23,Component8,2016-01-02,0.18801896685536096
24,Component9,2016-01-02,0.25174508749293245
25,Component10,2016-01-02,0.22288693468550744
26,Component11,2016-01-02,-0.3951278348051441
27,Component12,2016-01-02,0.013172099250196741
28,Component13,2016-01-02,0.3897937830713092
29,Component14,2016-01-02,-0.07423503692720833
30,Component15,2016-01-02,-0.07621569820396291
31,Component16,2016-01-02,-0.06178312836451533
32,Component1,2016-01-03,2.0818075532023235
33,Component2,2016-01-03,1.7283525333381369
34,Component3,2016-01-03,-0.3171138302761374
35,Component4,2016-01-03,1.0664126404120855
36,Component5,2016-01-03,0.4015152840056048
37,Component6,2016-01-03,0.6276347840796932
38,Component7,2016-01-03,-0.07688434692811467
39,Component8,2016-01-03,0.26322129934054284
40,Component9,2016-01-03,-0.4145136145441139
41,Component10,2016-01-03,-0.11638206263076199
42,Component11,2016-01-03,-0.11886646263887088
43,Component12,2016-01-03,0.6674229700197316
44,Component13,2016-01-03,0.07212649114404436
45,Component14,2016-01-03,-0.012355396781641577
46,Component15,2016-01-03,0.4570071290425573
47,Component16,2016-01-03,-0.22270124938875432
48,Component1,2016-01-04,0.4622160136597562
49,Component2,2016-01-04,-0.0504778018439875
50,Component3,2016-01-04,-0.5845958405524113
51,Component4,2016-01-04,1.0619226344823676
52,Component5,2016-01-04,0.5937743983482593
53,Component6,2016-01-04,1.0716941547252297
54,Component7,2016-01-04,0.6246417956727027
55,Component8,2016-01-04,0.5802221684478925
56,Component9,2016-01-04,-0.2249348965956666
57,Component10,2016-01-04,-0.14359131057979502
58,Component11,2016-01-04,-0.5364009276980546
59,Component12,2016-01-04,0.3784251658346964
60,Component13,2016-01-04,0.00175205242341972
61,Component14,2016-01-04,0.1862148111355401
62,Component15,2016-01-04,-0.3011743142407133
63,Component16,2016-01-04,-0.11888450009908927
64,Component1,2016-01-05,0.5623957313873978
65,Component2,2016-01-05,-0.4585682788860445
66,Component3,2016-01-05,-0.3383971565460759
67,Component4,2016-01-05,0.4005190508554136
68,Component5,2016-01-05,0.4743142742911886
69,Component6,2016-01-05,0.8026530058692691
70,Component7,2016-01-05,0.1440668470118087
71,Component8,2016-01-05,0.14520752743786938
72,Component9,2016-01-05,-0.34880621119538263
73,Component10,2016-01-05,0.08131714471883247
74,Component11,2016-01-05,-0.4652908141344959
75,Component12,2016-01-05,-0.0179776512770856
76,Component13,2016-01-05,-0.3635709988954313
77,Component14,2016-01-05,0.8957233419008703
78,Component15,2016-01-05,-0.29153197964459576
79,Component16,2016-01-05,0.5223466988940034
80,Component1,2016-01-06,-0.3418206909010511
81,Component2,2016-01-06,0.0009026404841305246
82,Component3,2016-01-06,-0.36588893536070266
83,Component4,2016-01-06,0.07612659631340908
84,Component5,2016-01-06,0.7723453130007242
85,Component6,2016-01-06,0.841102735144427
86,Component7,2016-01-06,-0.14313143748531426
87,Component8,2016-01-06,-0.2415450092687056
88,Component9,2016-01-06,-0.5742165380355387
89,Component10,2016-01-06,0.0975660936679199
90,Component11,2016-01-06,-0.17083818463924302
91,Component12,2016-01-06,-0.12069898854983573
