,date,amount,Type,MA,MS
0,01/01/2016,23237,1,0.0,0.0
1,01/02/2016,15922,0,0.0,0.0
2,01/03/2016,12987,0,0.0,0.0
3,01/04/2016,17749,0,0.0,0.0
4,01/05/2016,17909,0,0.0,0.0
5,01/06/2016,22677,0,0.0,0.0
6,01/07/2016,25411,0,19413.14285714286,4467.738892272445
7,01/08/2016,22108,0,19251.85714285714,4324.781783649954
8,01/09/2016,21328,0,20024.14285714286,4108.3222215632595
9,01/10/2016,18860,0,20863.14285714286,2833.6157954441314
10,01/11/2016,26298,0,22084.428571428572,3097.721897198158
11,01/12/2016,32092,0,24110.571428571428,4311.917278780707
12,01/13/2016,33313,0,25630.0,5447.089528668803
13,01/14/2016,31919,0,26559.714285714286,5936.857830937329
14,01/15/2016,34514,0,28332.0,6230.885571088588
15,01/16/2016,27248,0,29177.714285714286,5478.077847636146
16,01/17/2016,22772,0,29736.571428571428,4329.12076743622
17,01/18/2016,16435,1,28327.571428571428,6628.961478671772
18,01/19/2016,29469,1,27952.85714285714,6452.491028757067
19,01/20/2016,25940,0,26899.571428571428,6018.892889813507
20,01/21/2016,34480,0,27265.428571428572,6438.085943745049
21,01/22/2016,15756,0,24585.714285714286,6811.176861460522
22,01/23/2016,240,0,20727.428571428572,11252.956942616502
23,01/24/2016,2972,0,17898.85714285714,13005.40590714199
24,01/25/2016,9591,0,16921.14285714286,13385.499821679818
25,01/26/2016,15253,1,14890.285714285714,12189.428134170004
26,01/27/2016,26702,0,14999.142857142857,12307.385376655911
27,01/28/2016,32902,0,14773.714285714286,11898.761710282934
28,01/29/2016,32620,0,17182.85714285714,13701.462360256433
29,01/30/2016,26027,0,20866.714285714286,11708.567058843219
30,01/31/2016,17543,0,22948.285714285714,8972.541032028137
31,02/01/2016,22369,0,24773.714285714286,6851.181399687834
32,02/02/2016,29598,0,26823.0,5550.7484180063475
33,02/03/2016,35257,0,28045.14285714286,6396.967131085671
34,02/04/2016,32735,0,28021.285714285714,6376.11226151395
35,02/05/2016,34514,0,28291.85714285714,6638.568480944551
36,02/06/2016,27147,0,28451.85714285714,6588.189797624516
37,02/07/2016,20432,0,28864.571428571428,5838.779577307309
38,02/08/2016,23536,0,29031.285714285714,5635.523510561836
39,02/09/2016,28246,0,28838.14285714286,5636.031861412523
40,02/10/2016,34630,0,28748.571428571428,5520.821975549859
41,02/11/2016,36320,0,29260.714285714286,6089.276604936626
42,02/12/2016,36943,0,29607.714285714286,6494.271545351477
43,02/13/2016,33979,1,30583.714285714286,6575.6922250129055
44,02/14/2016,28124,1,31682.571428571428,5065.880175485883
45,02/15/2016,17304,1,30792.285714285714,6937.906521765903
46,02/16/2016,26889,0,30598.428571428572,7039.1321164175415
47,02/17/2016,33513,0,30438.85714285714,6944.532655947681
48,02/18/2016,36236,0,30426.85714285714,6932.738983224722
49,02/19/2016,39057,0,30728.85714285714,7300.205920122419
50,02/20/2016,32296,0,30488.428571428572,7202.382773710903
51,02/21/2016,22242,0,29648.14285714286,7839.179451714983
52,02/22/2016,31731,0,31709.14285714286,5641.258589728927
53,02/23/2016,44327,0,34200.28571428572,6873.606324540402
54,02/24/2016,44304,0,35741.857142857145,7836.414644222852
55,02/25/2016,41844,0,36543.0,8174.712308903184
56,02/26/2016,39640,0,36626.28571428572,8207.498455970723
57,02/27/2016,28319,0,36058.142857142855,8681.189462060505
58,02/28/2016,22580,0,36106.42857142857,8592.016776386914
59,02/29/2016,28681,0,35670.71428571428,8921.885072006653
60,03/01/2016,35957,0,34475.0,8090.557747563922
61,03/02/2016,42590,0,34230.142857142855,7762.807126045991
62,03/03/2016,44256,0,34574.71428571428,8198.403619288443
63,03/04/2016,44327,0,35244.28571428572,8846.794216254939
64,03/05/2016,38319,0,36672.857142857145,8334.698343442933
65,03/06/2016,29071,0,37600.142857142855,6707.753931795925
66,03/07/2016,29494,0,37716.28571428572,6532.327245178025
67,03/08/2016,35753,0,37687.142857142855,6541.932115936675
68,03/09/2016,37338,0,36936.857142857145,6176.901149405236
69,03/10/2016,39164,0,36209.42857142857,5425.416938114608
70,03/11/2016,38850,0,35427.0,4347.474055893446
71,03/12/2016,32103,0,34539.0,4292.797999751052
72,03/13/2016,23481,0,33740.42857142857,5751.594180663967
73,03/14/2016,35526,0,34602.142857142855,5453.489140864202
74,03/15/2016,42437,0,35557.0,6219.880920617904
75,03/16/2016,42346,0,36272.42857142857,6726.281856943519
76,03/17/2016,43496,0,36891.28571428572,7217.976579676734
77,03/18/2016,39976,0,37052.142857142855,7281.173106685745
78,03/19/2016,34973,0,37462.142857142855,7032.602776321419
79,03/20/2016,26396,0,37878.57142857143,6089.858834082078
80,03/21/2016,36365,0,37998.42857142857,6043.922977039073
81,03/22/2016,40268,0,37688.57142857143,5830.265684544818
82,03/23/2016,37175,0,36949.857142857145,5457.475161909313
83,03/24/2016,36888,0,36005.857142857145,4647.904525287761
84,03/25/2016,37109,0,35596.28571428572,4356.962769112052
85,03/26/2016,35187,0,35626.857142857145,4352.609080715129
86,03/27/2016,22704,0,35099.42857142857,5679.135522745895
87,03/28/2016,27475,0,33829.42857142857,6308.135246308083
88,03/29/2016,33108,0,32806.57142857143,5634.669787933248
89,03/30/2016,35278,0,32535.571428571428,5431.508779247966
90,03/31/2016,34528,0,32198.428571428572,5183.920744544075
91,04/01/2016,39142,0,32488.85714285714,5548.982442111099
92,04/02/2016,35962,0,32599.571428571428,5619.077322157176
93,04/03/2016,24632,0,32875.0,5074.00259492774
94,04/04/2016,31890,0,33505.71428571428,4536.860798477509
95,04/05/2016,38513,0,34277.857142857145,4903.059195664532
96,04/06/2016,40253,0,34988.57142857143,5406.881105194965
97,04/07/2016,44447,0,36405.57142857143,6462.722616594931
98,04/08/2016,43259,0,36993.71428571428,6924.121598062957
99,04/09/2016,37712,0,37243.71428571428,6912.2446839958275
100,04/10/2016,27499,0,37653.28571428572,6074.600637470903
101,04/11/2016,33531,0,37887.71428571428,5842.341388926353
102,04/12/2016,41508,0,38315.57142857143,6003.218188525852
103,04/13/2016,42727,0,38669.0,6205.702511937441
104,04/14/2016,44714,0,38707.142857142855,6247.813202195133
105,04/15/2016,41652,0,38477.57142857143,6079.951722865976
