,date,end_id,amount
0,2016-01-01,Cluster 1,1386
1,2016-01-01,Cluster 10,114
2,2016-01-01,Cluster 11,140
3,2016-01-01,Cluster 12,291
4,2016-01-01,Cluster 13,173
5,2016-01-01,Cluster 14,557
6,2016-01-01,Cluster 15,613
7,2016-01-01,Cluster 16,26
8,2016-01-01,Cluster 17,312
9,2016-01-01,Cluster 18,917
10,2016-01-01,Cluster 19,183
11,2016-01-01,Cluster 2,2100
12,2016-01-01,Cluster 20,115
13,2016-01-01,Cluster 21,733
14,2016-01-01,Cluster 22,228
15,2016-01-01,Cluster 23,347
16,2016-01-01,Cluster 24,56
17,2016-01-01,Cluster 25,1322
18,2016-01-01,Cluster 26,543
19,2016-01-01,Cluster 27,173
20,2016-01-01,Cluster 28,22
21,2016-01-01,Cluster 29,8
22,2016-01-01,Cluster 3,1349
23,2016-01-01,Cluster 30,46
24,2016-01-01,Cluster 31,51
25,2016-01-01,Cluster 32,82
26,2016-01-01,Cluster 33,67
27,2016-01-01,Cluster 34,75
28,2016-01-01,Cluster 35,19
29,2016-01-01,Cluster 36,20
30,2016-01-01,Cluster 37,33
31,2016-01-01,Cluster 38,61
32,2016-01-01,Cluster 39,100
33,2016-01-01,Cluster 4,949
34,2016-01-01,Cluster 40,2
35,2016-01-01,Cluster 41,10
36,2016-01-01,Cluster 42,3
37,2016-01-01,Cluster 43,3
38,2016-01-01,Cluster 44,15
39,2016-01-01,Cluster 45,669
40,2016-01-01,Cluster 46,5
41,2016-01-01,Cluster 5,935
42,2016-01-01,Cluster 6,3023
43,2016-01-01,Cluster 7,1239
44,2016-01-01,Cluster 8,3595
45,2016-01-01,Cluster 9,527
46,2016-01-02,Cluster 1,788
47,2016-01-02,Cluster 10,73
48,2016-01-02,Cluster 11,114
49,2016-01-02,Cluster 12,132
50,2016-01-02,Cluster 13,83
51,2016-01-02,Cluster 14,298
52,2016-01-02,Cluster 15,412
53,2016-01-02,Cluster 16,19
54,2016-01-02,Cluster 17,206
55,2016-01-02,Cluster 18,531
56,2016-01-02,Cluster 19,160
57,2016-01-02,Cluster 2,1113
58,2016-01-02,Cluster 20,66
59,2016-01-02,Cluster 21,455
60,2016-01-02,Cluster 22,170
61,2016-01-02,Cluster 23,267
62,2016-01-02,Cluster 24,39
63,2016-01-02,Cluster 25,941
64,2016-01-02,Cluster 26,422
65,2016-01-02,Cluster 27,104
66,2016-01-02,Cluster 28,28
67,2016-01-02,Cluster 29,4
68,2016-01-02,Cluster 3,915
69,2016-01-02,Cluster 30,34
70,2016-01-02,Cluster 31,51
71,2016-01-02,Cluster 32,80
72,2016-01-02,Cluster 33,58
73,2016-01-02,Cluster 34,60
74,2016-01-02,Cluster 35,13
75,2016-01-02,Cluster 36,20
76,2016-01-02,Cluster 37,35
77,2016-01-02,Cluster 38,38
78,2016-01-02,Cluster 39,73
79,2016-01-02,Cluster 4,833
80,2016-01-02,Cluster 41,13
81,2016-01-02,Cluster 43,4
82,2016-01-02,Cluster 44,12
83,2016-01-02,Cluster 45,856
84,2016-01-02,Cluster 46,3
85,2016-01-02,Cluster 5,584
86,2016-01-02,Cluster 6,2011
87,2016-01-02,Cluster 7,849
88,2016-01-02,Cluster 8,2540
89,2016-01-02,Cluster 9,415
90,2016-01-03,Cluster 1,746
91,2016-01-03,Cluster 10,55
92,2016-01-03,Cluster 11,87
93,2016-01-03,Cluster 12,141
94,2016-01-03,Cluster 13,93
95,2016-01-03,Cluster 14,288
96,2016-01-03,Cluster 15,372
97,2016-01-03,Cluster 16,16
98,2016-01-03,Cluster 17,166
99,2016-01-03,Cluster 18,516
100,2016-01-03,Cluster 19,125
101,2016-01-03,Cluster 2,1202
102,2016-01-03,Cluster 20,75
103,2016-01-03,Cluster 21,424
104,2016-01-03,Cluster 22,134
105,2016-01-03,Cluster 23,175
106,2016-01-03,Cluster 24,37
107,2016-01-03,Cluster 25,763
108,2016-01-03,Cluster 26,323
109,2016-01-03,Cluster 27,74
110,2016-01-03,Cluster 28,23
111,2016-01-03,Cluster 29,5
112,2016-01-03,Cluster 3,750
113,2016-01-03,Cluster 30,27
114,2016-01-03,Cluster 31,29
115,2016-01-03,Cluster 32,44
116,2016-01-03,Cluster 33,38
117,2016-01-03,Cluster 34,44
118,2016-01-03,Cluster 35,13
119,2016-01-03,Cluster 36,25
120,2016-01-03,Cluster 37,20
121,2016-01-03,Cluster 38,25
122,2016-01-03,Cluster 39,60
123,2016-01-03,Cluster 4,568
124,2016-01-03,Cluster 40,4
125,2016-01-03,Cluster 41,2
