,date,start_id,amount
0,2016-01-01,Cluster 1,1452
1,2016-01-01,Cluster 10,32
2,2016-01-01,Cluster 11,89
3,2016-01-01,Cluster 12,86
4,2016-01-01,Cluster 13,23
5,2016-01-01,Cluster 14,280
6,2016-01-01,Cluster 15,467
7,2016-01-01,Cluster 16,15
8,2016-01-01,Cluster 17,152
9,2016-01-01,Cluster 18,611
10,2016-01-01,Cluster 19,209
11,2016-01-01,Cluster 2,1563
12,2016-01-01,Cluster 20,47
13,2016-01-01,Cluster 21,353
14,2016-01-01,Cluster 22,127
15,2016-01-01,Cluster 23,148
16,2016-01-01,Cluster 24,19
17,2016-01-01,Cluster 25,1420
18,2016-01-01,Cluster 26,265
19,2016-01-01,Cluster 27,55
20,2016-01-01,Cluster 28,16
21,2016-01-01,Cluster 29,6
22,2016-01-01,Cluster 3,2479
23,2016-01-01,Cluster 30,46
24,2016-01-01,Cluster 31,25
25,2016-01-01,Cluster 32,39
26,2016-01-01,Cluster 33,38
27,2016-01-01,Cluster 34,31
28,2016-01-01,Cluster 35,5
29,2016-01-01,Cluster 36,14
30,2016-01-01,Cluster 37,19
31,2016-01-01,Cluster 38,25
32,2016-01-01,Cluster 39,51
33,2016-01-01,Cluster 4,1275
34,2016-01-01,Cluster 40,6
35,2016-01-01,Cluster 41,5
36,2016-01-01,Cluster 42,1
37,2016-01-01,Cluster 43,5
38,2016-01-01,Cluster 44,3
39,2016-01-01,Cluster 45,1308
40,2016-01-01,Cluster 46,2
41,2016-01-01,Cluster 5,640
42,2016-01-01,Cluster 6,3779
43,2016-01-01,Cluster 7,1373
44,2016-01-01,Cluster 8,4329
45,2016-01-01,Cluster 9,304
46,2016-01-02,Cluster 1,762
47,2016-01-02,Cluster 10,32
48,2016-01-02,Cluster 11,83
49,2016-01-02,Cluster 12,74
50,2016-01-02,Cluster 13,18
51,2016-01-02,Cluster 14,177
52,2016-01-02,Cluster 15,318
53,2016-01-02,Cluster 16,11
54,2016-01-02,Cluster 17,112
55,2016-01-02,Cluster 18,357
56,2016-01-02,Cluster 19,232
57,2016-01-02,Cluster 2,865
58,2016-01-02,Cluster 20,27
59,2016-01-02,Cluster 21,175
60,2016-01-02,Cluster 22,112
61,2016-01-02,Cluster 23,119
62,2016-01-02,Cluster 24,33
63,2016-01-02,Cluster 25,1415
64,2016-01-02,Cluster 26,222
65,2016-01-02,Cluster 27,49
66,2016-01-02,Cluster 28,17
67,2016-01-02,Cluster 29,3
68,2016-01-02,Cluster 3,1447
69,2016-01-02,Cluster 30,29
70,2016-01-02,Cluster 31,35
71,2016-01-02,Cluster 32,61
72,2016-01-02,Cluster 33,36
73,2016-01-02,Cluster 34,51
74,2016-01-02,Cluster 35,5
75,2016-01-02,Cluster 36,9
76,2016-01-02,Cluster 37,23
77,2016-01-02,Cluster 38,18
78,2016-01-02,Cluster 39,55
79,2016-01-02,Cluster 4,833
80,2016-01-02,Cluster 40,1
81,2016-01-02,Cluster 41,9
82,2016-01-02,Cluster 42,2
83,2016-01-02,Cluster 43,2
84,2016-01-02,Cluster 44,5
85,2016-01-02,Cluster 45,1378
86,2016-01-02,Cluster 46,4
87,2016-01-02,Cluster 5,557
88,2016-01-02,Cluster 6,2134
89,2016-01-02,Cluster 7,824
90,2016-01-02,Cluster 8,2900
91,2016-01-02,Cluster 9,291
92,2016-01-03,Cluster 1,766
93,2016-01-03,Cluster 10,38
94,2016-01-03,Cluster 11,46
95,2016-01-03,Cluster 12,60
96,2016-01-03,Cluster 13,15
97,2016-01-03,Cluster 14,127
98,2016-01-03,Cluster 15,215
99,2016-01-03,Cluster 16,5
100,2016-01-03,Cluster 17,90
101,2016-01-03,Cluster 18,316
102,2016-01-03,Cluster 19,175
103,2016-01-03,Cluster 2,812
104,2016-01-03,Cluster 20,31
105,2016-01-03,Cluster 21,137
106,2016-01-03,Cluster 22,82
107,2016-01-03,Cluster 23,67
108,2016-01-03,Cluster 24,22
109,2016-01-03,Cluster 25,1523
