,date,amount,Type,MA,MS
0,01/01/2017,315249,1,0.0,0.0
1,01/02/2017,244834,1,0.0,0.0
2,01/03/2017,304094,0,0.0,0.0
3,01/04/2017,315852,0,0.0,0.0
4,01/05/2017,351104,0,0.0,0.0
5,01/06/2017,370931,1,0.0,0.0
6,01/07/2017,330723,0,318969.5714285714,40024.33035399487
7,01/08/2017,316785,0,319189.0,40004.73884429194
8,01/09/2017,327014,0,330929.0,22985.67010117392
9,01/10/2017,329600,0,334572.71428571426,19827.416285825777
10,01/11/2017,344464,0,338660.14285714284,18207.972168151817
11,01/12/2017,354216,0,339104.71428571426,18596.294915155257
12,01/13/2017,379369,0,340310.14285714284,21107.11547818708
13,01/14/2017,377046,0,346927.71428571426,24576.83893909255
14,01/15/2017,337081,0,349827.14285714284,21422.938752877126
15,01/16/2017,279626,1,343057.4285714286,33765.39545085148
16,01/17/2017,351051,0,346121.85714285716,33310.83738279268
17,01/18/2017,349969,0,346908.28571428574,33330.15164339085
18,01/19/2017,360255,0,347771.0,33627.65779830645
19,01/20/2017,373548,1,346939.4285714286,32777.26794012961
20,01/21/2017,363821,0,345050.14285714284,31090.437353140027
21,01/22/2017,320237,0,342643.85714285716,32432.866850509192
22,01/23/2017,322289,0,348738.5714285714,20389.524302585287
23,01/24/2017,348099,0,348316.85714285716,20364.23757823648
24,01/25/2017,351525,0,348539.14285714284,20393.748065102176
25,01/26/2017,371853,0,350196.0,21918.364286597705
26,01/27/2017,398054,0,353696.85714285716,27512.931543964172
27,01/28/2017,404232,0,359469.85714285716,33565.30476761471
28,01/29/2017,334093,0,361449.28571428574,31190.59404539714
29,01/30/2017,312741,0,360085.28571428574,33324.32692350685
30,01/31/2017,337928,0,358632.28571428574,34145.66929941136
31,02/01/2017,357345,0,359463.71428571426,34014.37213744748
32,02/02/2017,382619,0,361001.71428571426,34899.80854634349
33,02/03/2017,408732,0,362527.14285714284,36961.6909580202
34,02/04/2017,403662,0,362445.71428571426,36854.97374717236
35,02/05/2017,337644,1,362953.0,36421.56364939139
36,02/06/2017,314078,0,363144.0,36116.586923462215
37,02/07/2017,352018,0,365156.85714285716,34847.350853059
38,02/08/2017,360466,0,365602.71428571426,34750.574761262535
39,02/09/2017,215391,0,341713.0,65223.450110626145
40,02/10/2017,386730,0,338569.85714285716,61901.0220228729
