,Component,Date,Value
0,Component1,2017-01-01,-0.08961639
1,Component2,2017-01-01,-0.6832455
2,Component3,2017-01-01,-0.19678333
3,Component4,2017-01-01,0.44464856
4,Component5,2017-01-01,0.43804792
5,Component6,2017-01-01,0.13973746
6,Component7,2017-01-01,-0.069471695
7,Component8,2017-01-01,-0.5015728
8,Component9,2017-01-01,-1.8600468999999997
9,Component10,2017-01-01,0.35635898
10,Component11,2017-01-01,-0.051023994
11,Component12,2017-01-01,-2.0061572
12,Component13,2017-01-01,-0.05686319
13,Component14,2017-01-01,0.049050983
14,Component15,2017-01-01,-2.1017069999999998
15,Component16,2017-01-01,0.3927381
16,Component1,2017-01-02,-0.06307157
17,Component2,2017-01-02,-0.26929304
18,Component3,2017-01-02,-0.82371706
19,Component4,2017-01-02,0.61610544
20,Component5,2017-01-02,-0.6176467
21,Component6,2017-01-02,0.20397915
22,Component7,2017-01-02,0.034130804
23,Component8,2017-01-02,0.048689300000000005
24,Component9,2017-01-02,-1.1174382
25,Component10,2017-01-02,-0.1643078
26,Component11,2017-01-02,-1.4235753999999998
27,Component12,2017-01-02,-0.69951606
28,Component13,2017-01-02,-0.058211304000000005
29,Component14,2017-01-02,0.11527480000000001
30,Component15,2017-01-02,-0.011409151000000001
31,Component16,2017-01-02,-0.24060868
32,Component1,2017-01-03,-0.462591
33,Component2,2017-01-03,-1.3676305
34,Component3,2017-01-03,-0.06214138
35,Component4,2017-01-03,0.11432827
36,Component5,2017-01-03,-0.058524902999999996
37,Component6,2017-01-03,-0.6483121000000001
38,Component7,2017-01-03,-0.17102529
39,Component8,2017-01-03,0.30984490000000003
40,Component9,2017-01-03,-0.7127545999999999
41,Component10,2017-01-03,0.21708322
42,Component11,2017-01-03,-0.9294319999999999
43,Component12,2017-01-03,-0.285646
44,Component13,2017-01-03,0.22732438
45,Component14,2017-01-03,-0.4106869000000001
46,Component15,2017-01-03,0.25884724
47,Component16,2017-01-03,-0.31002909999999995
48,Component1,2017-01-04,-0.42670196
49,Component2,2017-01-04,-1.7503681
50,Component3,2017-01-04,-0.014238453500000001
51,Component4,2017-01-04,-0.07480309
52,Component5,2017-01-04,-0.21000515
53,Component6,2017-01-04,-0.24134795
54,Component7,2017-01-04,0.0011364913
55,Component8,2017-01-04,0.41787356
56,Component9,2017-01-04,-0.74974084
57,Component10,2017-01-04,0.3172953
58,Component11,2017-01-04,-0.39918435
59,Component12,2017-01-04,-0.3632223
60,Component13,2017-01-04,0.32858625
61,Component14,2017-01-04,0.017572078999999997
62,Component15,2017-01-04,0.17124957
63,Component16,2017-01-04,-0.2294672
64,Component1,2017-01-05,-0.62081385
65,Component2,2017-01-05,-1.6433737000000002
66,Component3,2017-01-05,-0.028167825
67,Component4,2017-01-05,-0.14133929
68,Component5,2017-01-05,-0.3896917
69,Component6,2017-01-05,-0.33610144
70,Component7,2017-01-05,0.08970294
71,Component8,2017-01-05,0.38068423
72,Component9,2017-01-05,-0.47858864
73,Component10,2017-01-05,0.38509843
74,Component11,2017-01-05,-0.39513287
75,Component12,2017-01-05,-0.71652293
76,Component13,2017-01-05,0.1970537
77,Component14,2017-01-05,-0.042367342999999995
78,Component15,2017-01-05,0.07565588
79,Component16,2017-01-05,-0.37921315
80,Component1,2017-01-06,-1.2478186000000002
81,Component2,2017-01-06,-0.83926475
82,Component3,2017-01-06,-0.003320359
83,Component4,2017-01-06,-0.14246102
84,Component5,2017-01-06,-0.5211579000000001
85,Component6,2017-01-06,0.07681901
86,Component7,2017-01-06,0.30553707
87,Component8,2017-01-06,0.31676647
88,Component9,2017-01-06,-0.23235549
89,Component10,2017-01-06,0.24764784
90,Component11,2017-01-06,-0.8917804
91,Component12,2017-01-06,-0.33597767
92,Component13,2017-01-06,0.26979202
93,Component14,2017-01-06,-0.19460455
94,Component15,2017-01-06,-0.088615656
95,Component16,2017-01-06,0.0071755084
96,Component1,2017-01-07,-0.17906132
97,Component2,2017-01-07,-0.52156276
98,Component3,2017-01-07,0.25238317
99,Component4,2017-01-07,0.5509566999999999
100,Component5,2017-01-07,0.15367673
101,Component6,2017-01-07,-0.004750311
102,Component7,2017-01-07,0.15072843
103,Component8,2017-01-07,0.022520624
104,Component9,2017-01-07,-0.48595467
105,Component10,2017-01-07,0.336536
106,Component11,2017-01-07,-0.11335093
107,Component12,2017-01-07,0.0037974643
108,Component13,2017-01-07,0.6193198000000001
109,Component14,2017-01-07,0.1837489
110,Component15,2017-01-07,-0.14045171
111,Component16,2017-01-07,-0.7564036
112,Component1,2017-01-08,0.26656294
113,Component2,2017-01-08,-0.32321933
114,Component3,2017-01-08,-0.108160116
115,Component4,2017-01-08,0.62356246
116,Component5,2017-01-08,-0.15887173
117,Component6,2017-01-08,0.09828017
118,Component7,2017-01-08,0.010049815
119,Component8,2017-01-08,0.23329237
120,Component9,2017-01-08,-0.5404165
121,Component10,2017-01-08,-0.028973852999999997
122,Component11,2017-01-08,-0.2937525
123,Component12,2017-01-08,0.010250778
124,Component13,2017-01-08,0.5227155
125,Component14,2017-01-08,0.28155294
126,Component15,2017-01-08,0.2962296
127,Component16,2017-01-08,-1.0977248
128,Component1,2017-01-09,-0.26086485
129,Component2,2017-01-09,-1.4601479
130,Component3,2017-01-09,0.043085553
131,Component4,2017-01-09,0.10504412
132,Component5,2017-01-09,-0.1857816
133,Component6,2017-01-09,-0.4005238
134,Component7,2017-01-09,-0.11126775
135,Component8,2017-01-09,0.41124308
136,Component9,2017-01-09,-0.5221458999999999
137,Component10,2017-01-09,0.2149839
138,Component11,2017-01-09,-0.46903402
139,Component12,2017-01-09,-0.0509306
140,Component13,2017-01-09,0.3827193
141,Component14,2017-01-09,-0.044599883
142,Component15,2017-01-09,0.36729074
143,Component16,2017-01-09,-0.51955414
144,Component1,2017-01-10,-0.3441435
145,Component2,2017-01-10,-1.5024164
146,Component3,2017-01-10,0.025237662999999997
147,Component4,2017-01-10,-0.08386956
148,Component5,2017-01-10,-0.44522923
149,Component6,2017-01-10,-0.25246558
150,Component7,2017-01-10,-0.019847069
151,Component8,2017-01-10,0.41506994
152,Component9,2017-01-10,-0.38863793
153,Component10,2017-01-10,0.27585137
154,Component11,2017-01-10,-0.31163820000000003
155,Component12,2017-01-10,-0.061252035
156,Component13,2017-01-10,0.32368532
157,Component14,2017-01-10,0.12662886
158,Component15,2017-01-10,0.34809735
159,Component16,2017-01-10,-0.40973216
160,Component1,2017-01-11,-0.48089147
161,Component2,2017-01-11,-1.3488573999999998
162,Component3,2017-01-11,-0.0068748337
163,Component4,2017-01-11,-0.06595834
164,Component5,2017-01-11,-0.47006246
165,Component6,2017-01-11,-0.20563844
166,Component7,2017-01-11,0.12582359
167,Component8,2017-01-11,0.44110516
168,Component9,2017-01-11,-0.31507134
169,Component10,2017-01-11,0.27644178
170,Component11,2017-01-11,-0.45807827
171,Component12,2017-01-11,-0.057569124000000006
172,Component13,2017-01-11,0.37349766
173,Component14,2017-01-11,0.02207715
174,Component15,2017-01-11,0.34167925
175,Component16,2017-01-11,-0.4403751
176,Component1,2017-01-12,-0.70141315
177,Component2,2017-01-12,-1.3572501000000001
178,Component3,2017-01-12,-0.07121243
179,Component4,2017-01-12,-0.09558104
180,Component5,2017-01-12,-0.6501132
181,Component6,2017-01-12,-0.21225272
182,Component7,2017-01-12,0.17801045
