,date,amount,Type,MA,MS
0,01/01/2017,1881644.0,0,0.0,0.0
1,01/02/2017,1611187.0,1,0.0,0.0
2,01/03/2017,2085175.0,0,0.0,0.0
3,01/04/2017,2101443.0,0,0.0,0.0
4,01/05/2017,2120337.0,0,0.0,0.0
5,01/06/2017,2314352.0,0,0.0,0.0
6,01/07/2017,1937634.0,0,2007396.0,223433.04004257446
7,01/08/2017,1567751.0,0,1962554.142857143,277768.6554649562
8,01/09/2017,2045259.0,0,2024564.4285714286,230722.36249358027
9,01/10/2017,2089019.0,0,2025113.5714285714,230895.17492855006
10,01/11/2017,2114250.0,0,2026943.142857143,231650.30424573773
11,01/12/2017,2138221.0,0,2029498.0,232947.00349221067
12,01/13/2017,2359014.0,0,2035878.2857142857,242466.44965005937
13,01/14/2017,1933406.0,0,2035274.2857142857,242757.0634699873
14,01/15/2017,1657793.0,0,2048137.4285714286,214608.87930438883
15,01/16/2017,2085096.0,0,2053828.4285714286,215047.5779688898
16,01/17/2017,2134714.0,0,2060356.2857142857,216978.71387820074
17,01/18/2017,2154041.0,0,2066040.7142857143,219136.44068305506
18,01/19/2017,2299776.0,0,2089120.0,235873.65754784914
19,01/20/2017,2366326.0,0,2090164.5714285714,237280.09160895145
20,01/21/2017,2012182.0,0,2101418.285714286,230373.81230564837
21,01/22/2017,1829816.0,0,2125993.0,178498.15675145417
22,01/23/2017,2201983.0,0,2142691.1428571427,179499.1510884557
23,01/24/2017,2237516.0,0,2157377.1428571427,182910.743260594
24,01/25/2017,2170093.0,0,2159670.285714286,182962.56158270422
25,01/26/2017,1900406.0,0,2102617.4285714286,193930.80929363874
26,01/27/2017,790631.0,1,1877518.142857143,503774.6374234638
27,01/28/2017,1365770.0,1,1785173.5714285714,533352.9913134001
28,01/29/2017,1404587.0,1,1724426.5714285714,551333.8803782619
29,01/30/2017,1455450.0,1,1617779.0,514536.45934698585
30,01/31/2017,1609064.0,1,1528000.142857143,437429.4052969863
31,02/01/2017,1563403.0,1,1441330.142857143,337751.1930674339
32,02/02/2017,1988661.0,0,1453938.0,358739.21090582246
33,02/03/2017,2158018.0,0,1649279.0,305725.54544667323
