amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
1611187.0,National Holiday,2017-01-02,True,True,True,True,True,True,Taipei
2085175.0,,2017-01-03,True,False,False,False,False,False,Taipei
2101443.0,,2017-01-04,False,False,False,False,False,False,Taipei
2120337.0,,2017-01-05,False,False,False,False,False,False,Taipei
2314352.0,,2017-01-06,False,False,False,True,False,False,Taipei
1937634.0,,2017-01-07,True,False,False,True,True,True,Taipei
1567751.0,,2017-01-08,False,False,False,True,True,False,Taipei
2045259.0,,2017-01-09,True,False,False,False,False,False,Taipei
2089019.0,,2017-01-10,False,False,False,False,False,False,Taipei
2114250.0,,2017-01-11,False,False,False,False,False,False,Taipei
2138221.0,,2017-01-12,False,False,False,False,False,False,Taipei
2359014.0,,2017-01-13,False,False,True,True,False,True,Taipei
1933406.0,,2017-01-14,False,False,False,True,True,True,Taipei
1657793.0,,2017-01-15,False,False,False,True,True,True,Taipei
2085096.0,,2017-01-16,False,False,False,False,False,False,Taipei
2134714.0,,2017-01-17,False,False,False,True,False,True,Taipei
2154041.0,,2017-01-18,False,False,False,False,False,False,Taipei
2299776.0,,2017-01-19,False,False,False,False,False,True,Taipei
2366326.0,,2017-01-20,False,False,False,True,False,True,Taipei
2012182.0,,2017-01-21,False,False,False,True,True,True,Taipei
1829816.0,,2017-01-22,False,True,True,True,True,True,Taipei
2201983.0,,2017-01-23,False,False,False,False,False,False,Taipei
2237516.0,,2017-01-24,False,False,False,False,False,False,Taipei
2170093.0,,2017-01-25,False,False,False,True,True,False,Taipei
1900406.0,,2017-01-26,True,True,True,True,True,True,Taipei
790631.0,National Holiday,2017-01-27,True,True,True,True,True,True,Taipei
1365770.0,National Holiday,2017-01-28,False,True,True,True,True,True,Taipei
1404587.0,National Holiday,2017-01-29,False,True,True,True,True,True,Taipei
1455450.0,National Holiday,2017-01-30,True,True,True,True,True,True,Taipei
1609064.0,National Holiday,2017-01-31,True,True,True,True,True,True,Taipei
1563403.0,National Holiday,2017-02-01,False,True,True,True,True,False,Taipei
1988661.0,,2017-02-02,True,True,True,True,True,True,Taipei
2158018.0,,2017-02-03,True,True,False,True,True,False,Taipei
1989778.0,,2017-02-04,False,True,True,True,True,True,Taipei
1708957.0,,2017-02-05,False,True,True,True,True,True,Taipei
2143009.0,,2017-02-06,True,True,False,True,False,False,Taipei
2200629.0,,2017-02-07,False,True,False,True,False,False,Taipei
2242697.0,,2017-02-08,False,True,False,False,False,False,Taipei
2177183.0,,2017-02-09,False,False,False,False,False,False,Taipei
2357280.0,,2017-02-10,False,True,True,False,False,True,Taipei
2097391.0,,2017-02-11,False,True,True,True,True,True,Taipei
1825764.0,,2017-02-12,False,True,True,True,True,True,Taipei
2100706.0,,2017-02-13,False,False,False,False,False,False,Taipei
2164786.0,,2017-02-14,False,False,False,False,False,False,Taipei
2131304.0,,2017-02-15,False,False,False,False,False,False,Taipei
2139756.0,,2017-02-16,False,False,False,False,False,False,Taipei
2266985.0,,2017-02-17,False,False,False,True,False,False,Taipei
2226445.0,,2017-02-18,False,True,False,True,True,True,Taipei
1858209.0,,2017-02-19,False,False,False,True,True,True,Taipei
2125719.0,,2017-02-20,False,False,False,False,False,False,Taipei
2150944.0,,2017-02-21,False,False,False,False,False,False,Taipei
2139167.0,,2017-02-22,False,False,False,False,False,False,Taipei
2152590.0,,2017-02-23,False,False,False,False,False,False,Taipei
2343907.0,,2017-02-24,False,False,False,False,False,False,Taipei
1805330.0,National Holiday,2017-02-25,True,True,True,True,True,True,Taipei
1719565.0,National Holiday,2017-02-26,False,True,True,True,True,True,Taipei
1850801.0,,2017-02-27,False,True,False,True,True,True,Taipei
1614518.0,National Holiday,2017-02-28,True,True,True,True,True,False,Taipei
2088270.0,,2017-03-01,True,False,False,False,False,False,Taipei
2082746.0,,2017-03-02,False,False,False,False,False,False,Taipei
2286334.0,,2017-03-03,False,False,False,False,False,False,Taipei
2009657.0,,2017-03-04,False,False,True,True,True,True,Taipei
1767325.0,,2017-03-05,False,True,True,False,True,True,Taipei
2100113.0,,2017-03-06,False,False,False,False,False,False,Taipei
2148167.0,,2017-03-07,False,False,False,False,False,False,Taipei
2201558.0,,2017-03-08,False,False,False,False,False,False,Taipei
2196081.0,,2017-03-09,False,False,False,False,False,False,Taipei
2398192.0,,2017-03-10,False,False,False,False,False,False,Taipei
2098085.0,,2017-03-11,False,False,False,True,False,True,Taipei
1829018.0,,2017-03-12,False,False,True,False,False,True,Taipei
2128030.0,,2017-03-13,False,False,False,False,False,False,Taipei
2166513.0,,2017-03-14,False,False,False,False,False,False,Taipei
2173542.0,,2017-03-15,False,False,False,False,False,False,Taipei
2210527.0,,2017-03-16,False,False,False,False,False,False,Taipei
2394927.0,,2017-03-17,False,False,False,False,False,False,Taipei
2115615.0,,2017-03-18,False,True,True,True,True,True,Taipei
1718679.0,,2017-03-19,True,False,False,True,True,False,Taipei
2080411.0,,2017-03-20,False,False,False,False,False,False,Taipei
2128111.0,,2017-03-21,False,False,False,False,False,False,Taipei
2180167.0,,2017-03-22,False,False,False,False,False,False,Taipei
2201499.0,,2017-03-23,False,False,False,False,False,False,Taipei
2399682.0,,2017-03-24,False,False,True,True,False,False,Taipei
1972933.0,,2017-03-25,False,False,False,True,True,True,Taipei
1653568.0,,2017-03-26,False,False,False,True,True,False,Taipei
2101086.0,,2017-03-27,False,False,False,False,False,False,Taipei
2141983.0,,2017-03-28,False,False,False,False,False,False,Taipei
2265063.0,,2017-03-29,False,True,True,True,True,True,Taipei
