,amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm
0,15922,0,2016-01-02,1,0,0,1,1,0
1,12987,0,2016-01-03,0,1,0,0,0,0
2,17749,0,2016-01-04,0,1,1,0,0,0
3,17909,0,2016-01-05,0,1,0,0,0,0
4,22677,0,2016-01-06,0,1,0,1,1,0
5,25411,0,2016-01-07,0,1,1,0,0,0
6,22108,0,2016-01-08,0,1,0,1,0,0
7,21328,0,2016-01-09,0,0,0,1,0,1
8,18860,0,2016-01-10,0,1,1,0,1,0
9,26298,0,2016-01-11,1,0,0,1,1,1
10,32092,0,2016-01-12,0,0,0,0,0,0
11,33313,0,2016-01-13,0,0,0,0,0,0
12,31919,0,2016-01-14,0,0,0,0,0,0
13,34514,0,2016-01-15,1,1,1,1,0,1
14,27248,0,2016-01-16,0,1,0,1,1,0
15,22772,0,2016-01-17,0,1,0,0,0,0
16,16435,1,2016-01-18,1,1,0,1,1,0
17,29469,1,2016-01-19,1,0,0,0,1,0
18,25940,0,2016-01-20,1,1,0,0,0,0
19,34480,0,2016-01-21,1,1,1,1,0,1
20,15756,0,2016-01-22,1,1,1,1,1,1
21,240,0,2016-01-23,1,0,0,0,0,0
22,2972,0,2016-01-24,0,0,0,0,1,0
23,9591,0,2016-01-25,0,1,0,1,1,0
24,15253,1,2016-01-26,0,1,0,1,1,0
25,26702,0,2016-01-27,1,0,0,1,0,0
26,32902,0,2016-01-28,0,1,1,1,0,0
27,32620,0,2016-01-29,1,1,1,1,0,0
28,26027,0,2016-01-30,1,1,1,1,0,1
29,17543,0,2016-01-31,0,1,1,0,1,0
30,22369,0,2016-02-01,0,1,1,1,1,0
31,29598,0,2016-02-02,0,0,0,1,0,1
32,35257,0,2016-02-03,0,0,0,1,0,1
33,32735,0,2016-02-04,1,0,1,1,1,1
34,34514,0,2016-02-05,0,1,1,1,0,0
35,27147,0,2016-02-06,0,1,0,1,0,1
36,20432,0,2016-02-07,0,1,0,1,0,0
37,23536,0,2016-02-08,0,1,0,1,0,0
38,28246,0,2016-02-09,0,1,0,0,0,0
39,34630,0,2016-02-10,0,0,1,1,1,1
40,36320,0,2016-02-11,0,0,1,1,1,1
41,36943,0,2016-02-12,0,1,0,1,0,1
42,33979,1,2016-02-13,0,1,1,1,1,1
43,28124,1,2016-02-14,0,1,0,1,1,0
44,17304,1,2016-02-15,1,1,0,1,1,0
45,26889,0,2016-02-16,1,0,1,0,0,1
46,33513,0,2016-02-17,0,1,0,1,1,0
47,36236,0,2016-02-18,0,0,0,1,0,0
48,39057,0,2016-02-19,0,1,0,1,0,1
49,32296,0,2016-02-20,0,1,1,1,0,1
50,22242,0,2016-02-21,0,1,0,1,1,0
51,31731,0,2016-02-22,1,0,0,1,0,0
52,44327,0,2016-02-23,1,1,0,1,1,1
53,44304,0,2016-02-24,0,0,0,1,0,1
54,41844,0,2016-02-25,0,1,0,1,0,1
55,39640,0,2016-02-26,0,1,0,1,1,1
56,28319,0,2016-02-27,0,1,1,1,0,1
57,22580,0,2016-02-28,0,1,1,1,1,0
58,28681,0,2016-02-29,0,0,0,1,0,1
59,35957,0,2016-03-01,0,1,0,1,1,1
60,42590,0,2016-03-02,0,1,1,1,0,1
61,44256,0,2016-03-03,0,0,0,1,0,1
62,44327,0,2016-03-04,0,1,1,1,0,1
63,38319,0,2016-03-05,0,1,1,1,0,1
64,29071,0,2016-03-06,0,1,0,1,1,0
65,29494,0,2016-03-07,0,0,0,1,0,0
66,35753,0,2016-03-08,0,0,1,0,0,1
67,37338,0,2016-03-09,0,1,0,1,0,1
68,39164,0,2016-03-10,0,0,0,0,0,1
69,38850,0,2016-03-11,0,1,1,1,1,1
70,32103,0,2016-03-12,0,1,0,1,0,1
71,23481,0,2016-03-13,0,0,0,0,1,0
72,35526,0,2016-03-14,1,0,0,1,0,1
73,42437,0,2016-03-15,0,1,1,1,0,1
74,42346,0,2016-03-16,0,1,1,1,0,1
75,43496,0,2016-03-17,0,0,1,0,0,1
76,39976,0,2016-03-18,0,1,1,1,0,1
77,34973,0,2016-03-19,0,1,1,1,0,1
78,26396,0,2016-03-20,1,0,0,0,1,0
79,36365,0,2016-03-21,1,0,0,0,0,1
80,40268,0,2016-03-22,0,0,1,0,0,1
81,37175,0,2016-03-23,0,0,0,1,0,0
82,36888,0,2016-03-24,0,0,0,0,1,1
83,37109,0,2016-03-25,0,1,1,1,1,1
84,35187,0,2016-03-26,0,1,1,1,1,1
85,22704,0,2016-03-27,1,1,1,1,0,0
86,27475,0,2016-03-28,0,0,0,0,1,0
87,33108,0,2016-03-29,0,0,1,1,0,0
88,35278,0,2016-03-30,0,0,0,0,0,0
89,34528,0,2016-03-31,0,0,0,1,0,1
90,39142,0,2016-04-01,0,1,1,1,1,1
91,35962,0,2016-04-02,0,0,1,1,0,1
92,24632,0,2016-04-03,1,1,0,1,0,0
93,31890,0,2016-04-04,1,0,1,1,1,0
94,38513,0,2016-04-05,0,0,0,0,0,1
95,40253,0,2016-04-06,0,0,0,1,0,1
96,44447,0,2016-04-07,0,0,1,1,0,1
97,43259,0,2016-04-08,0,0,1,1,0,1
98,37712,0,2016-04-09,0,1,1,1,1,1
99,27499,0,2016-04-10,0,0,0,0,0,0
100,33531,0,2016-04-11,0,0,0,0,0,0
101,41508,0,2016-04-12,0,0,0,1,0,0
