,amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm
0,244834,1,2017-01-02,1,0,0,0,1,0
1,304094,0,2017-01-03,1,0,0,0,0,0
2,315852,0,2017-01-04,0,0,0,0,0,0
3,351104,0,2017-01-05,1,0,0,0,0,0
4,370931,1,2017-01-06,1,0,0,0,1,0
5,330723,0,2017-01-07,1,0,0,0,1,0
6,316785,0,2017-01-08,0,0,0,0,1,0
7,327014,0,2017-01-09,0,0,0,0,0,0
8,329600,0,2017-01-10,0,0,0,0,0,0
9,344464,0,2017-01-11,0,0,0,0,0,0
10,354216,0,2017-01-12,0,0,0,0,0,0
11,379369,0,2017-01-13,0,0,0,0,0,0
12,377046,0,2017-01-14,0,0,0,0,1,0
13,337081,0,2017-01-15,0,0,0,0,1,0
14,279626,1,2017-01-16,0,0,0,0,1,0
15,351051,0,2017-01-17,0,0,0,0,0,0
16,349969,0,2017-01-18,0,0,0,0,0,0
17,360255,0,2017-01-19,0,0,0,0,0,0
18,373548,1,2017-01-20,0,0,0,0,0,0
19,363821,0,2017-01-21,0,0,0,0,1,0
20,320237,0,2017-01-22,0,0,0,0,1,0
21,322289,0,2017-01-23,0,0,0,0,0,0
22,348099,0,2017-01-24,0,0,0,0,0,0
23,351525,0,2017-01-25,0,0,0,0,0,0
24,371853,0,2017-01-26,0,0,0,0,0,0
25,398054,0,2017-01-27,0,0,0,0,0,0
26,404232,0,2017-01-28,0,0,0,0,1,0
27,334093,0,2017-01-29,0,0,0,0,1,0
28,312741,0,2017-01-30,0,0,0,0,0,0
29,337928,0,2017-01-31,0,0,0,0,0,0
30,357345,0,2017-02-01,0,0,0,0,0,0
31,382619,0,2017-02-02,0,0,0,0,0,0
32,408732,0,2017-02-03,0,0,0,0,0,0
33,403662,0,2017-02-04,0,0,0,0,1,0
34,337644,1,2017-02-05,0,0,0,0,1,0
35,314078,0,2017-02-06,0,0,0,0,0,0
36,352018,0,2017-02-07,0,0,0,0,0,0
37,360466,0,2017-02-08,0,0,0,0,0,0
38,215391,0,2017-02-09,1,0,0,0,1,0
39,386730,0,2017-02-10,1,0,0,0,0,0
40,409774,0,2017-02-11,0,0,0,0,1,0
41,357820,0,2017-02-12,0,0,0,0,1,0
42,346397,0,2017-02-13,0,0,0,0,0,0
43,373435,0,2017-02-14,0,0,0,0,0,0
44,375568,0,2017-02-15,0,0,0,0,0,0
45,398331,0,2017-02-16,0,0,0,0,0,0
46,388138,1,2017-02-17,0,0,0,0,0,0
47,363219,1,2017-02-18,0,0,0,0,1,0
48,331407,1,2017-02-19,0,0,0,0,1,0
49,286927,1,2017-02-20,0,0,0,0,1,0
50,318460,0,2017-02-21,0,0,0,0,0,0
51,340702,0,2017-02-22,0,0,0,0,0,0
52,364813,0,2017-02-23,0,0,0,0,0,0
53,385483,0,2017-02-24,0,0,0,0,0,0
54,410943,0,2017-02-25,0,0,0,0,1,0
55,353252,0,2017-02-26,0,0,0,0,1,0
56,331985,0,2017-02-27,0,0,0,0,0,0
57,350492,0,2017-02-28,0,0,0,0,0,0
58,371558,0,2017-03-01,0,0,0,0,0,0
59,404614,0,2017-03-02,0,0,0,0,0,0
60,432341,1,2017-03-03,0,0,0,0,0,0
61,443989,0,2017-03-04,0,0,0,0,1,0
62,355345,0,2017-03-05,0,0,0,0,1,0
63,334532,0,2017-03-06,0,0,0,0,0,0
64,360070,0,2017-03-07,0,0,0,0,0,0
65,370406,0,2017-03-08,0,0,0,0,0,0
66,393211,0,2017-03-09,0,0,0,0,0,0
67,416498,0,2017-03-10,0,0,0,0,0,0
68,439480,0,2017-03-11,0,0,0,0,1,0
69,364432,0,2017-03-12,0,0,0,0,1,0
70,364721,0,2017-03-13,0,0,0,0,0,0
71,105747,0,2017-03-14,1,1,0,1,1,0
72,320759,0,2017-03-15,1,0,0,1,1,0
73,349183,0,2017-03-16,0,0,0,0,1,0
74,355326,0,2017-03-17,0,0,0,0,1,0
75,406311,0,2017-03-18,0,0,0,0,1,0
76,331252,0,2017-03-19,0,0,0,0,1,0
77,308962,0,2017-03-20,0,0,0,0,0,0
78,329739,0,2017-03-21,0,0,0,0,0,0
79,376140,0,2017-03-22,1,0,0,0,0,0
80,372952,0,2017-03-23,1,0,0,0,0,0
81,372950,0,2017-03-24,0,0,0,0,0,0
82,385058,0,2017-03-25,0,0,0,0,1,0
83,335243,0,2017-03-26,0,0,0,0,1,0
84,310786,0,2017-03-27,0,0,0,0,0,0
85,361399,0,2017-03-28,0,0,0,0,1,0
86,358578,0,2017-03-29,0,0,0,0,0,0
87,381039,0,2017-03-30,0,0,0,0,0,0
88,418017,0,2017-03-31,0,0,0,0,0,0
89,393280,0,2017-04-01,0,0,0,0,1,0
90,344314,0,2017-04-02,0,0,0,0,1,0
91,329084,0,2017-04-03,0,0,0,0,0,0
92,363021,0,2017-04-04,0,0,0,0,0,0
93,378583,0,2017-04-05,0,0,0,0,0,0
94,394900,0,2017-04-06,0,0,0,0,0,0
95,418411,0,2017-04-07,0,0,0,0,0,0
96,401850,0,2017-04-08,0,0,0,0,1,0
97,347898,0,2017-04-09,0,0,0,0,1,0
98,309829,0,2017-04-10,0,0,0,0,0,0
99,337227,1,2017-04-11,0,0,0,0,1,0
100,350739,0,2017-04-12,0,0,0,0,1,0
101,368489,0,2017-04-13,0,0,0,0,1,0
102,362402,0,2017-04-14,0,0,0,0,1,0
103,349125,0,2017-04-15,1,0,0,0,1,0
104,314447,0,2017-04-16,0,0,0,0,1,0
105,304570,0,2017-04-17,0,0,0,0,1,0
106,350622,0,2017-04-18,0,0,0,0,1,0
107,379726,0,2017-04-19,0,0,0,0,0,0
108,389964,0,2017-04-20,0,0,0,0,0,0
109,414859,0,2017-04-21,0,0,0,0,0,0
110,390487,0,2017-04-22,0,0,0,0,1,0
